time,P
20190212:0606,224.02
20190212:0706,365.67
20190212:0806,361.04
20190212:0906,476.3
20190212:1006,450.05
20190212:1106,573.59
20190212:1206,418.71
20190212:1306,248.2
20190212:1406,230.7
20190212:1506,80.91
20190212:1606,0.0
20190212:1706,0.0
20190212:1806,0.0
20190212:1906,0.0
20190212:2006,0.0
20190212:2106,0.0
20190212:2206,0.0
20190212:2306,0.0
20190213:0006,0.0
20190213:0106,0.0
20190213:0206,0.0
20190213:0306,0.0
20190213:0406,0.0
20190213:0506,139.45
20190213:0606,310.88
20190213:0706,518.96
20190213:0806,609.51
20190213:0906,720.92
20190213:1006,750.27
20190213:1106,721.24
20190213:1206,554.51
20190213:1306,375.67
20190213:1406,264.16
20190213:1506,131.33
20190213:1606,0.0
20190213:1706,0.0
20190213:1806,0.0
20190213:1906,0.0
20190213:2006,0.0
20190213:2106,0.0
20190213:2206,0.0
20190213:2306,0.0
20190214:0006,0.0
20190214:0106,0.0
20190214:0206,0.0
20190214:0306,0.0
20190214:0406,0.0
20190214:0506,135.32
20190214:0606,360.83
20190214:0706,537.47
20190214:0806,657.67
20190214:0906,735.14
20190214:1006,748.32
20190214:1106,511.61
20190214:1206,541.78
20190214:1306,402.32
20190214:1406,310.35
20190214:1506,38.26
20190214:1606,0.0
20190214:1706,0.0
20190214:1806,0.0
20190214:1906,0.0
20190214:2006,0.0
20190214:2106,0.0
20190214:2206,0.0
20190214:2306,0.0
20190215:0006,0.0
20190215:0106,0.0
20190215:0206,0.0
20190215:0306,0.0
20190215:0406,0.0
20190215:0506,137.33
20190215:0606,359.44
20190215:0706,508.27
20190215:0806,649.86
20190215:0906,711.46
20190215:1006,512.22
20190215:1106,627.63
20190215:1206,539.97
20190215:1306,381.17
20190215:1406,143.73
20190215:1506,24.87
20190215:1606,0.0
20190215:1706,0.0
20190215:1806,0.0
20190215:1906,0.0
20190215:2006,0.0
20190215:2106,0.0
20190215:2206,0.0
20190215:2306,0.0
20190216:0006,0.0
20190216:0106,0.0
20190216:0206,0.0
20190216:0306,0.0
20190216:0406,0.0
20190216:0506,134.76
20190216:0606,352.32
20190216:0706,534.43
20190216:0806,658.99
20190216:0906,728.83
20190216:1006,751.33
20190216:1106,617.85
20190216:1206,634.24
20190216:1306,204.99
20190216:1406,194.24
20190216:1506,28.35
20190216:1606,0.0
20190216:1706,0.0
20190216:1806,0.0
20190216:1906,0.0
20190216:2006,0.0
20190216:2106,0.0
20190216:2206,0.0
20190216:2306,0.0
20190217:0006,0.0
20190217:0106,0.0
20190217:0206,0.0
20190217:0306,0.0
20190217:0406,0.0
20190217:0506,127.93
20190217:0606,344.79
20190217:0706,477.62
20190217:0806,658.01
20190217:0906,722.36
20190217:1006,743.58
20190217:1106,726.16
20190217:1206,650.42
20190217:1306,521.04
20190217:1406,301.29
20190217:1506,36.32
20190217:1606,0.0
20190217:1706,0.0
20190217:1806,0.0
20190217:1906,0.0
20190217:2006,0.0
20190217:2106,0.0
20190217:2206,0.0
20190217:2306,0.0
20190218:0006,0.0
20190218:0106,0.0
20190218:0206,0.0
20190218:0306,0.0
20190218:0406,0.0
20190218:0506,116.73
20190218:0606,345.19
20190218:0706,535.34
20190218:0806,664.79
20190218:0906,739.94
20190218:1006,764.0
20190218:1106,735.05
20190218:1206,655.23
20190218:1306,520.9
20190218:1406,347.15
20190218:1506,132.47
20190218:1606,0.0
20190218:1706,0.0
20190218:1806,0.0
20190218:1906,0.0
20190218:2006,0.0
20190218:2106,0.0
20190218:2206,0.0
20190218:2306,0.0
20190219:0006,0.0
20190219:0106,0.0
20190219:0206,0.0
20190219:0306,0.0
20190219:0406,0.0
20190219:0506,126.66
20190219:0606,348.73
20190219:0706,538.0
20190219:0806,667.09
20190219:0906,736.67
20190219:1006,755.86
20190219:1106,724.17
20190219:1206,625.17
20190219:1306,494.97
20190219:1406,332.12
20190219:1506,106.17
20190219:1606,0.0
20190219:1706,0.0
20190219:1806,0.0
20190219:1906,0.0
20190219:2006,0.0
20190219:2106,0.0
20190219:2206,0.0
20190219:2306,0.0
20190220:0006,0.0
