,dome_load_kw
1967,0.013681385281385324
1968,0.011786724386724338
1969,0.010809235209235083
1970,0.010372871572871513
1971,0.009651659451659422
1972,0.009430303030302947
1973,0.009240692640692562
1974,0.010098124098124023
1975,0.009434054834054862
1976,0.007720634920634854
1977,0.008692063492063421
1978,0.008505339105339134
1979,0.00904733044733034
1980,0.008561616161616157
1981,0.00910764790764788
1982,0.009335930735930628
1983,0.008446464646464676
1984,0.00915353535353529
1985,0.011243578643578597
1986,0.012122077922077916
1987,0.019278499278499422
1988,0.024226839826840072
1989,0.02191313131313145
1990,0.01734112554112561
1991,0.013681385281385324
1992,0.011786724386724338
1993,0.010809235209235083
1994,0.010372871572871513
1995,0.009651659451659422
1996,0.009430303030302947
1997,0.009240692640692562
1998,0.010098124098124023
1999,0.009434054834054862
2000,0.007720634920634854
2001,0.008692063492063421
2002,0.008505339105339134
2003,0.00904733044733034
2004,0.008561616161616157
2005,0.00910764790764788
2006,0.009335930735930628
2007,0.008446464646464676
2008,0.00915353535353529
2009,0.011243578643578597
2010,0.012122077922077916
2011,0.019278499278499422
2012,0.024226839826840072
2013,0.02191313131313145
2014,0.01734112554112561
2015,0.013681385281385324
2016,0.011786724386724338
2017,0.010809235209235083
2018,0.010372871572871513
2019,0.009651659451659422
2020,0.009430303030302947
2021,0.009240692640692562
2022,0.010098124098124023
2023,0.009434054834054862
2024,0.007720634920634854
2025,0.008692063492063421
2026,0.008505339105339134
2027,0.00904733044733034
2028,0.008561616161616157
2029,0.00910764790764788
2030,0.009335930735930628
2031,0.008446464646464676
2032,0.00915353535353529
2033,0.011243578643578597
2034,0.012122077922077916
2035,0.019278499278499422
2036,0.024226839826840072
2037,0.02191313131313145
2038,0.01734112554112561
2039,0.013681385281385324
2040,0.011786724386724338
2041,0.010809235209235083
2042,0.010372871572871513
2043,0.009651659451659422
2044,0.009430303030302947
2045,0.009240692640692562
2046,0.010098124098124023
2047,0.009434054834054862
2048,0.007720634920634854
2049,0.008692063492063421
2050,0.008505339105339134
2051,0.00904733044733034
2052,0.008561616161616157
2053,0.00910764790764788
2054,0.009335930735930628
2055,0.008446464646464676
2056,0.00915353535353529
2057,0.011243578643578597
2058,0.012122077922077916
2059,0.019278499278499422
2060,0.024226839826840072
2061,0.02191313131313145
2062,0.01734112554112561
2063,0.013681385281385324
2064,0.011786724386724338
2065,0.010809235209235083
2066,0.010372871572871513
2067,0.009651659451659422
2068,0.009430303030302947
2069,0.009240692640692562
2070,0.010098124098124023
2071,0.009434054834054862
2072,0.007720634920634854
2073,0.008692063492063421
2074,0.008505339105339134
2075,0.00904733044733034
2076,0.008561616161616157
2077,0.00910764790764788
2078,0.009335930735930628
2079,0.008446464646464676
2080,0.00915353535353529
2081,0.011243578643578597
2082,0.012122077922077916
2083,0.019278499278499422
2084,0.024226839826840072
2085,0.02191313131313145
2086,0.01734112554112561
2087,0.013681385281385324
2088,0.011786724386724338
2089,0.010809235209235083
2090,0.010372871572871513
2091,0.009651659451659422
2092,0.009430303030302947
2093,0.009240692640692562
2094,0.010098124098124023
2095,0.009434054834054862
2096,0.007720634920634854
2097,0.008692063492063421
2098,0.008505339105339134
2099,0.00904733044733034
2100,0.008561616161616157
2101,0.00910764790764788
2102,0.009335930735930628
2103,0.008446464646464676
2104,0.00915353535353529
2105,0.011243578643578597
2106,0.012122077922077916
2107,0.019278499278499422
2108,0.024226839826840072
2109,0.02191313131313145
2110,0.01734112554112561
2111,0.013681385281385324
2112,0.011786724386724338
2113,0.010809235209235083
2114,0.010372871572871513
2115,0.009651659451659422
2116,0.009430303030302947
2117,0.009240692640692562
2118,0.010098124098124023
2119,0.009434054834054862
2120,0.007720634920634854
2121,0.008692063492063421
2122,0.008505339105339134
2123,0.00904733044733034
2124,0.008561616161616157
2125,0.00910764790764788
2126,0.009335930735930628
2127,0.008446464646464676
2128,0.00915353535353529
2129,0.011243578643578597
2130,0.012122077922077916
2131,0.019278499278499422
2132,0.024226839826840072
2133,0.02191313131313145
2134,0.01734112554112561
2135,0.013681385281385324
2136,0.011786724386724338
2137,0.010809235209235083
2138,0.010372871572871513
2139,0.009651659451659422
2140,0.009430303030302947
2141,0.009240692640692562
2142,0.010098124098124023
2143,0.009434054834054862
2144,0.007720634920634854
2145,0.008692063492063421
2146,0.008505339105339134
2147,0.00904733044733034
2148,0.008561616161616157
2149,0.00910764790764788
2150,0.009335930735930628
2151,0.008446464646464676
2152,0.00915353535353529
2153,0.011243578643578597
2154,0.012122077922077916
2155,0.019278499278499422
2156,0.024226839826840072
2157,0.02191313131313145
2158,0.01734112554112561
2159,0.013681385281385324
2160,0.011786724386724338
2161,0.010809235209235083
2162,0.010372871572871513
2163,0.009651659451659422
2164,0.009430303030302947
2165,0.009240692640692562
2166,0.010098124098124023
2167,0.009434054834054862
2168,0.007720634920634854
2169,0.008692063492063421
2170,0.008505339105339134
2171,0.00904733044733034
2172,0.008561616161616157
2173,0.00910764790764788
2174,0.009335930735930628
2175,0.008446464646464676
2176,0.00915353535353529
2177,0.011243578643578597
2178,0.012122077922077916
2179,0.019278499278499422
2180,0.024226839826840072
2181,0.02191313131313145
2182,0.01734112554112561
2183,0.013681385281385324
2184,0.011786724386724338
2185,0.010809235209235083
2186,0.010372871572871513
2187,0.009651659451659422
2188,0.009430303030302947
2189,0.009240692640692562
2190,0.010098124098124023
2191,0.009434054834054862
2192,0.007720634920634854
2193,0.008692063492063421
2194,0.008505339105339134
2195,0.00904733044733034
2196,0.008561616161616157
2197,0.00910764790764788
2198,0.009335930735930628
2199,0.008446464646464676
2200,0.00915353535353529
2201,0.011243578643578597
2202,0.012122077922077916
2203,0.019278499278499422
2204,0.024226839826840072
2205,0.02191313131313145
2206,0.01734112554112561
2207,0.013681385281385324
2208,0.011786724386724338
2209,0.010809235209235083
2210,0.010372871572871513
2211,0.009651659451659422
2212,0.009430303030302947
2213,0.009240692640692562
2214,0.010098124098124023
2215,0.009434054834054862
2216,0.007720634920634854
2217,0.008692063492063421
2218,0.008505339105339134
2219,0.00904733044733034
2220,0.008561616161616157
2221,0.00910764790764788
2222,0.009335930735930628
2223,0.008446464646464676
2224,0.00915353535353529
