time,solar_po
2019-04-11 05:06:00+00:00,0.16163
2019-04-11 06:06:00+00:00,0.3689
2019-04-11 07:06:00+00:00,0.53912
2019-04-11 08:06:00+00:00,0.63348
2019-04-11 09:06:00+00:00,0.74783
2019-04-11 10:06:00+00:00,0.73732
2019-04-11 11:06:00+00:00,0.58451
2019-04-11 12:06:00+00:00,0.62507
2019-04-11 13:06:00+00:00,0.09061
2019-04-11 14:06:00+00:00,0.07503
2019-04-11 15:06:00+00:00,0.05529
2019-04-11 16:06:00+00:00,0
2019-04-11 17:06:00+00:00,0
2019-04-11 18:06:00+00:00,0
2019-04-11 19:06:00+00:00,0
2019-04-11 20:06:00+00:00,0
2019-04-11 21:06:00+00:00,0
2019-04-11 22:06:00+00:00,0
2019-04-11 23:06:00+00:00,0
2019-04-12 00:06:00+00:00,0
2019-04-12 01:06:00+00:00,0
2019-04-12 02:06:00+00:00,0
2019-04-12 03:06:00+00:00,0
2019-04-12 04:06:00+00:00,0.00314
2019-04-12 05:06:00+00:00,0.16346
2019-04-12 06:06:00+00:00,0.37674
2019-04-12 07:06:00+00:00,0.51914
2019-04-12 08:06:00+00:00,0.6587
2019-04-12 09:06:00+00:00,0.72547
2019-04-12 10:06:00+00:00,0.36314
2019-04-12 11:06:00+00:00,0.50727
2019-04-12 12:06:00+00:00,0
2019-04-12 13:06:00+00:00,0.34402
2019-04-12 14:06:00+00:00,0.1182
2019-04-12 15:06:00+00:00,0.03569
2019-04-12 16:06:00+00:00,0
2019-04-12 17:06:00+00:00,0
2019-04-12 18:06:00+00:00,0
2019-04-12 19:06:00+00:00,0
2019-04-12 20:06:00+00:00,0
2019-04-12 21:06:00+00:00,0
2019-04-12 22:06:00+00:00,0
2019-04-12 23:06:00+00:00,0
2019-04-13 00:06:00+00:00,0
2019-04-13 01:06:00+00:00,0
2019-04-13 02:06:00+00:00,0
2019-04-13 03:06:00+00:00,0
2019-04-13 04:06:00+00:00,0.00128
2019-04-13 05:06:00+00:00,0.12316
2019-04-13 06:06:00+00:00,0.32337
2019-04-13 07:06:00+00:00,0.49311
2019-04-13 08:06:00+00:00,0.55675
2019-04-13 09:06:00+00:00,0.66563
2019-04-13 10:06:00+00:00,0.6797
2019-04-13 11:06:00+00:00,0.61278
2019-04-13 12:06:00+00:00,0.49767
2019-04-13 13:06:00+00:00,0.36044
2019-04-13 14:06:00+00:00,0.27365
2019-04-13 15:06:00+00:00,0.02918
2019-04-13 16:06:00+00:00,0
2019-04-13 17:06:00+00:00,0
2019-04-13 18:06:00+00:00,0
2019-04-13 19:06:00+00:00,0
2019-04-13 20:06:00+00:00,0
2019-04-13 21:06:00+00:00,0
2019-04-13 22:06:00+00:00,0
2019-04-13 23:06:00+00:00,0
2019-04-14 00:06:00+00:00,0
2019-04-14 01:06:00+00:00,0
2019-04-14 02:06:00+00:00,0
2019-04-14 03:06:00+00:00,0
2019-04-14 04:06:00+00:00,0.00419
2019-04-14 05:06:00+00:00,0.15858
2019-04-14 06:06:00+00:00,0.36014
2019-04-14 07:06:00+00:00,0.53007
2019-04-14 08:06:00+00:00,0.63123
2019-04-14 09:06:00+00:00,0.62402
2019-04-14 10:06:00+00:00,0.66633
2019-04-14 11:06:00+00:00,0.6539
2019-04-14 12:06:00+00:00,0.5594
2019-04-14 13:06:00+00:00,0.44995
2019-04-14 14:06:00+00:00,0.25013
2019-04-14 15:06:00+00:00,0.0798
2019-04-14 16:06:00+00:00,0
2019-04-14 17:06:00+00:00,0
2019-04-14 18:06:00+00:00,0
2019-04-14 19:06:00+00:00,0
2019-04-14 20:06:00+00:00,0
2019-04-14 21:06:00+00:00,0
2019-04-14 22:06:00+00:00,0
2019-04-14 23:06:00+00:00,0
2019-04-15 00:06:00+00:00,0
2019-04-15 01:06:00+00:00,0
2019-04-15 02:06:00+00:00,0
2019-04-15 03:06:00+00:00,0
2019-04-15 04:06:00+00:00,0.00422
2019-04-15 05:06:00+00:00,0.14654
2019-04-15 06:06:00+00:00,0.35522
2019-04-15 07:06:00+00:00,0.5139
2019-04-15 08:06:00+00:00,0.588
2019-04-15 09:06:00+00:00,0.62775
2019-04-15 10:06:00+00:00,0.68688
2019-04-15 11:06:00+00:00,0.67556
2019-04-15 12:06:00+00:00,0.59056
2019-04-15 13:06:00+00:00,0.50207
2019-04-15 14:06:00+00:00,0.30027
2019-04-15 15:06:00+00:00,0.09406
2019-04-15 16:06:00+00:00,0
2019-04-15 17:06:00+00:00,0
2019-04-15 18:06:00+00:00,0
2019-04-15 19:06:00+00:00,0
2019-04-15 20:06:00+00:00,0
2019-04-15 21:06:00+00:00,0
2019-04-15 22:06:00+00:00,0
2019-04-15 23:06:00+00:00,0
